X,Y
174.8536874247981,122.99293880517305
174.11979329481548,120.007457795448
174.09999999999997,116.49411764705881
174.09537226180638,112.99738584722874
173.47173818774272,110.44526411003923
171.801477202193,108.57750760807626
170.44967022594562,106.48072281199856
168.33089196683838,105.12896714239095
166.4768069252671,103.45238565773337
164.27431568389343,102.21623714595135
161.92049066013485,101.10686346880081
159.26589628128133,100.20157556408722
156.91546942540646,99.0359641340722
154.5326047312009,97.97717051472449
151.98064680167226,96.84270643281945
149.87230899157936,95.52694034782331
147.54512892467542,94.27866870553797
145.5145170298146,92.84175750175844
143.3895926091418,91.37499357478099
141.16122830572144,90.15159380553133
139.13326401876142,88.48686272754891
137.41768574583543,86.53985529114266
137.1020718922115,83.14139757179416
137.53530724032774,79.8474072294935
138.40576137185266,77.2044305553227
139.80726180140985,75.02117020443359
140.42015309509068,72.1973496008447
141.82530258451257,70.00150803680759
142.81402895938703,67.42626690951354
144.23059514071122,65.37505909069542
145.79862685388173,63.301373146118245
147.2329654034104,61.34970159184249
148.40310520828896,59.00851819685202
149.63906050490692,56.67568952046463
151.33772688297455,54.76866510542886
153.30869187310458,53.77793588181919
154.59326433566827,52.98604473972065
157.55505012003218,52.089110387462775
160.25964303698416,51.38773101132935
163.4145577906314,51.00267214344855
166.20157143114838,50.18683212396681
169.617974745641,50.07823098859793
172.32326526888522,49.372490611783455
175.7053498554318,49.179428675503914
178.11670189240084,49.79934942757442
180.50792275629044,49.02910937558101
183.30475795095708,48.178089753185674
186.79842114628352,48.099761166361276
189.9012784191777,47.89035313500563
192.8418760117517,47.132153004778544
195.92493243457568,46.88177036501336
198.56912891544275,46.00563272215915
200.00215444826756,44.373344940873984
199.6216067346451,42.00869057618887
197.3506101157127,40.98061331706397
194.41805352584353,40.289458243657336
191.8666560573178,39.18467214704888
190.5996230965839,36.976262625585264
188.37456073986982,35.77366285101775
185.91855899029645,34.82539163925442
183.28458954670026,33.91592011176777
180.67968149573554,32.91405587576268
178.61675610510636,31.18034642681204
178.10179803064526,27.917350304602543
178.10006419801607,24.400007133112876
178.22693962267198,20.924214926673685
179.03248076894886,18.184150558790584
179.09998992972294,14.8469681910361
179.0972079337066,11.342675650492998
178.66872431215253,8.483679533079343
178.08480034608206,5.369905778134325
177.31593522591803,2.821878708038236
176.02848424342184,0.935431012372451
